top - 22:41:29 up  4:30,  1 user,  load average: 0.74, 0.76, 0.78
Tasks: 238 total,   3 running, 233 sleeping,   0 stopped,   2 zombie
%Cpu(s):  7.3 us,  3.2 sy,  0.0 ni, 89.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7893.1 total,   1954.5 free,   1915.2 used,   4023.3 buff/cache
MiB Swap:   8172.0 total,   8172.0 free,      0.0 used.   5793.4 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 3530 hbyc      20   0 5226620 774440 127520 S  21.2   9.6  58:15.97 deepin-mo+
 2187 hbyc      20   0 2478788 149196 106668 R  19.8   1.8  53:54.10 kwin_x11
 1490 root      20   0  410524  50556  28464 S  10.9   0.6   0:22.17 uos-licen+
  742 root      20   0 2813760  93312  60396 S   8.3   1.2  22:36.59 Xorg
25674 root      20   0   40540   9392   7824 S   4.6   0.1   0:00.23 perf_4.19
  721 root      20   0 1144452  49708  25084 S   2.4   0.6   3:42.03 deepin-de+
 3069 hbyc      20   0   64256  26036  11032 S   1.4   0.3   3:26.22 python3
  974 root      20   0 1082648 109168  56240 S   1.2   1.4   2:10.57 qaxsafed
 2554 hbyc      20   0 1121276  24884  18804 S   1.2   0.3   3:38.00 pulseaudio
  301 root      -2   0       0      0      0 S   1.0   0.0   2:24.33 gfx
  304 root      -2   0       0      0      0 R   1.0   0.0   2:54.29 sdma0
 3033 hbyc      20   0 1729788 111932  78176 S   1.0   1.4   4:04.58 deepin-te+
18287 root      20   0       0      0      0 I   1.0   0.0   0:46.29 kworker/0+
 1447 root      20   0   17436   3516   2776 R   0.8   0.0   1:37.99 top
 2495 root      39  19  674624  50776  35540 S   0.6   0.6   0:08.03 dde-file-+
 2785 hbyc      20   0 1509148 107660  79752 S   0.6   1.3   1:23.38 dde-lock
   10 root      20   0       0      0      0 I   0.4   0.0   0:54.18 rcu_sched
  305 root      -2   0       0      0      0 S   0.4   0.0   0:52.30 sdma1
  306 root      -2   0       0      0      0 S   0.2   0.0   0:25.63 uvd
  350 root      20   0   75124  41388  39152 S   0.2   0.5   0:11.56 systemd-j+
  618 root      20   0  264444  12692  10896 S   0.2   0.2   0:01.74 accounts-+
  633 message+  20   0    9960   6488   3264 S   0.2   0.1   0:46.18 dbus-daem+
  824 root      20   0  763316  10152   8276 S   0.2   0.1   0:32.70 deepin-se+
 1570 root      20   0    7300   4332   4064 S   0.2   0.1   0:41.71 ipwatchd
 1919 hbyc      20   0    8876   5536   3324 S   0.2   0.1   0:15.93 dbus-daem+
 2100 hbyc      20   0 2969164  73980  38472 S   0.2   0.9   0:23.69 dde-sessi+
 2139 hbyc      20   0 2680644 112776  89960 S   0.2   1.4   0:51.95 dde-dock
