PER-CPU OFFSET VALUES:
  CPU 0: 80ad00b30000
  CPU 1: 80ad00b60000
  CPU 2: 80ad00b90000
  CPU 3: 80ad00bc0000
  CPU 4: 80ad00bf0000
  CPU 5: 80ad00c20000
  CPU 6: 80ad00c50000
  CPU 7: 80ad00c80000
  CPU 8: 80ad00cb0000
  CPU 9: 80ad00ce0000
 CPU 10: 80ad00d10000
 CPU 11: 80ad00d40000
 CPU 12: 80ad00d70000
 CPU 13: 80ad00da0000
 CPU 14: 80ad00dd0000
 CPU 15: 80ad00e00000
 CPU 16: 80ad00e30000
 CPU 17: 80ad00e60000
 CPU 18: 80ad00e90000
 CPU 19: 80ad00ec0000
 CPU 20: 80ad00ef0000
 CPU 21: 80ad00f20000
 CPU 22: 80ad00f50000
 CPU 23: 80ad00f80000
 CPU 24: 80ad00fb0000
 CPU 25: 80ad00fe0000
 CPU 26: 80ad01010000
 CPU 27: 80ad01040000
 CPU 28: 80ad01070000
 CPU 29: 80ad010a0000
 CPU 30: 80ad010d0000
 CPU 31: 80ad01100000
 CPU 32: a0acc0a70000
 CPU 33: a0acc0aa0000
 CPU 34: a0acc0ad0000
 CPU 35: a0acc0b00000
 CPU 36: a0acc0b30000
 CPU 37: a0acc0b60000
 CPU 38: a0acc0b90000
 CPU 39: a0acc0bc0000
 CPU 40: a0acc0bf0000
 CPU 41: a0acc0c20000
 CPU 42: a0acc0c50000
 CPU 43: a0acc0c80000
 CPU 44: a0acc0cb0000
 CPU 45: a0acc0ce0000
 CPU 46: a0acc0d10000
 CPU 47: a0acc0d40000
 CPU 48: a0acc0d70000
 CPU 49: a0acc0da0000
 CPU 50: a0acc0dd0000
 CPU 51: a0acc0e00000
 CPU 52: a0acc0e30000
 CPU 53: a0acc0e60000
 CPU 54: a0acc0e90000
 CPU 55: a0acc0ec0000
 CPU 56: a0acc0ef0000
 CPU 57: a0acc0f20000
 CPU 58: a0acc0f50000
 CPU 59: a0acc0f80000
 CPU 60: a0acc0fb0000
 CPU 61: a0acc0fe0000
 CPU 62: a0acc1010000
 CPU 63: a0acc1040000
